ipa,license,other
c_a952,https://creativecommons.org/licenses/by-nc-nd/4.0/deed.it,"Attribuzione
- Non commerciale - Non opere derivate 4.0 Internazionale (CC
BY-NC-ND 4.0)"
c_h323,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_f628,http://creativecommons.org/licenses/by-nc/3.0/deed.it,licenza Creative Commons Attribuzione - Non commerciale 3.0 Unprotected
c_I924,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_dez8,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_g808,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l194,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
c_b165,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_c627,http://creativecommons.org/licenses/by-nc-sa/2.5/it/legalcode,testo integrale della licenza
c_i695,http://creativecommons.org/licenses/by-nc-sa/3.0/it/,Creative Commons
c_f999,http://creativecommons.org/licenses/by-nc/2.5/it/,"Creative Commons
     Attribuzione - Non commerciale 2.5 Italia (CC BY-NC 2.5)"
c_l090,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l511,http://creativecommons.org/licenses/by/2.5/it/,licenza Creative Commons - Attribuzione 2.5 Italia
c_f632,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_m357,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l100,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_i569,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_h114,http://creativecommons.org/licenses/by-nc/2.5/it/,Creative Commons Attribuzione - Non commerciale 2.5 Italia (CC BY-NC 2.5)
c_f947,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
